iter	Passed	Remaining
0	148	148634
1	149	74767
2	151	50185
3	151	37846
4	152	30443
5	154	25554
6	155	22039
7	156	19408
8	157	17345
9	158	15694
10	159	14349
11	160	13222
12	161	12278
13	162	11458
14	163	10753
15	164	10135
16	165	9585
17	166	9099
18	167	8666
19	168	8277
20	169	7922
21	171	7604
22	172	7312
23	173	7043
24	174	6795
25	175	6569
26	176	6354
27	177	6158
28	178	5978
29	179	5806
30	180	5644
31	181	5497
32	182	5354
33	183	5221
34	184	5094
35	185	4974
36	186	4863
37	187	4756
38	188	4654
39	189	4557
40	190	4465
41	191	4378
42	192	4294
43	194	4215
44	195	4138
45	196	4067
46	197	3998
47	198	3930
48	199	3866
49	200	3803
50	201	3744
51	202	3685
52	203	3630
53	204	3577
54	205	3525
55	206	3476
56	207	3428
57	208	3381
58	209	3337
59	210	3293
60	211	3251
61	212	3213
62	213	3174
63	214	3137
64	215	3101
65	216	3065
66	217	3030
67	218	2989
68	219	2955
69	220	2923
70	221	2893
71	222	2862
72	223	2833
73	224	2805
74	225	2776
75	226	2749
76	227	2723
77	228	2697
78	229	2672
79	230	2647
80	231	2622
81	232	2599
82	233	2576
83	234	2553
84	235	2530
85	236	2508
86	236	2483
87	237	2463
88	238	2443
89	239	2424
90	240	2405
91	241	2387
92	242	2368
93	243	2349
94	244	2331
95	245	2313
96	246	2296
97	247	2280
98	248	2262
99	249	2246
100	250	2230
101	251	2210
102	252	2195
103	252	2179
104	253	2164
105	254	2148
106	255	2132
107	256	2117
108	257	2103
109	258	2089
110	259	2075
111	260	2061
112	260	2048
113	261	2035
114	262	2022
115	263	2008
116	264	1996
117	265	1984
118	266	1974
119	267	1962
120	268	1953
121	269	1942
122	270	1928
123	271	1916
124	272	1907
125	274	1903
126	275	1892
127	275	1878
128	276	1867
129	277	1857
130	278	1847
131	279	1837
132	280	1827
133	281	1818
134	282	1808
135	283	1798
136	283	1788
137	284	1779
138	285	1770
139	286	1761
140	287	1752
141	288	1743
142	289	1734
143	290	1725
144	291	1717
145	292	1708
146	292	1700
147	293	1691
148	294	1683
149	295	1676
150	296	1668
151	297	1660
152	298	1652
153	299	1644
154	300	1636
155	301	1629
156	302	1621
157	302	1614
158	303	1607
159	304	1600
160	305	1593
161	306	1585
162	307	1578
163	308	1571
164	309	1564
165	310	1558
166	311	1551
167	311	1544
168	312	1538
169	313	1531
170	314	1524
171	315	1517
172	316	1511
173	316	1504
174	317	1497
175	318	1491
176	319	1484
177	320	1478
178	320	1472
179	321	1466
180	322	1458
181	324	1459
182	326	1456
183	327	1452
184	329	1449
185	330	1446
186	332	1443
187	333	1440
188	335	1438
189	336	1435
190	338	1432
191	339	1429
192	341	1427
193	342	1424
194	344	1421
195	345	1419
196	347	1416
197	348	1413
198	350	1410
199	352	1408
200	353	1406
201	355	1402
202	356	1400
203	358	1397
204	359	1395
205	361	1392
206	362	1390
207	364	1387
208	365	1384
209	367	1382
210	369	1380
211	370	1377
212	372	1374
213	373	1372
214	375	1369
215	376	1366
216	378	1364
217	379	1361
218	380	1358
219	382	1355
220	383	1353
221	385	1350
222	386	1347
223	388	1345
224	389	1342
225	391	1340
226	392	1337
227	394	1334
228	395	1332
229	397	1329
230	398	1327
231	400	1325
232	401	1323
233	403	1321
234	405	1318
235	406	1316
236	408	1313
237	409	1311
238	411	1308
239	412	1306
240	414	1304
241	415	1301
242	417	1299
243	418	1296
244	420	1294
245	421	1292
246	423	1290
247	424	1288
248	426	1285
249	427	1283
250	429	1281
251	430	1279
252	432	1276
253	433	1274
254	435	1272
255	436	1269
256	438	1267
257	440	1265
258	441	1263
259	442	1260
260	444	1258
261	445	1255
262	447	1253
263	449	1251
264	450	1249
265	452	1247
266	453	1245
267	455	1243
268	456	1241
269	458	1238
270	459	1236
271	461	1234
272	462	1232
273	464	1229
274	465	1227
275	467	1225
276	468	1223
277	470	1221
278	471	1219
279	473	1216
280	474	1214
281	476	1212
282	477	1210
283	479	1208
284	480	1206
285	482	1204
286	484	1202
287	485	1201
288	487	1199
289	488	1197
290	490	1194
291	491	1192
292	493	1190
293	495	1188
294	496	1186
295	498	1184
296	499	1182
