iter	Passed	Remaining
0	178	178427
1	180	90126
2	182	60675
3	184	46016
4	186	37194
5	188	31265
6	192	27247
7	194	24104
8	196	21619
9	199	19702
10	200	18069
11	203	16735
12	207	15781
13	210	14806
14	211	13920
15	213	13149
16	216	12495
17	219	11949
18	223	11529
19	225	11053
20	227	10616
21	230	10238
22	232	9874
23	235	9584
24	237	9281
25	240	8994
26	242	8725
27	244	8482
28	246	8245
29	249	8053
30	250	7834
31	252	7639
32	254	7452
33	256	7275
34	258	7122
35	262	7040
36	265	6903
37	267	6765
38	269	6645
39	271	6526
40	273	6408
41	277	6319
42	281	6254
43	282	6148
44	284	6042
45	286	5949
46	289	5860
47	293	5813
48	296	5755
49	298	5671
50	300	5593
51	302	5518
52	304	5440
53	308	5398
54	310	5334
55	312	5264
56	314	5196
57	316	5136
58	318	5074
59	320	5027
60	323	4986
61	326	4932
62	328	4878
63	329	4822
64	370	5335
65	373	5283
66	375	5223
67	377	5167
68	379	5115
69	380	5058
70	382	5009
71	386	4976
72	387	4924
73	389	4877
74	391	4831
75	393	4783
76	395	4737
77	396	4691
78	400	4669
79	402	4626
80	403	4582
81	405	4542
82	406	4492
83	408	4452
84	409	4412
85	411	4374
86	414	4346
87	416	4315
88	418	4280
89	419	4244
90	421	4211
91	423	4177
92	424	4143
93	426	4112
94	429	4087
95	431	4063
96	433	4033
97	435	4004
98	436	3974
99	438	3944
100	439	3915
101	441	3887
102	443	3866
103	445	3840
104	447	3814
105	449	3787
106	450	3762
107	452	3737
108	454	3711
109	455	3687
110	457	3663
111	459	3646
112	461	3623
113	463	3600
114	464	3577
115	466	3554
116	467	3530
117	469	3509
118	471	3487
119	472	3466
120	474	3448
121	476	3428
122	478	3408
123	479	3388
124	481	3368
125	483	3350
126	484	3329
127	486	3312
128	488	3296
129	490	3279
130	491	3261
131	493	3244
132	494	3226
133	496	3209
134	498	3192
135	499	3175
136	501	3158
137	503	3144
138	505	3129
139	506	3114
140	508	3098
141	509	3080
142	511	3065
143	513	3050
144	514	3035
145	516	3021
146	518	3006
147	520	2994
148	521	2980
149	523	2966
150	525	2952
151	526	2939
152	528	2925
153	530	2911
154	531	2897
155	533	2885
156	535	2874
157	537	2861
158	538	2849
159	540	2837
160	541	2822
161	543	2810
162	544	2797
163	546	2785
164	548	2774
165	550	2763
166	551	2751
167	553	2740
168	555	2730
169	556	2718
170	558	2707
171	560	2696
172	561	2685
173	563	2675
174	565	2665
175	567	2655
176	569	2645
177	570	2635
178	572	2624
179	573	2614
180	575	2603
181	577	2593
182	578	2584
183	580	2574
184	582	2564
185	583	2555
186	585	2545
187	587	2535
188	588	2526
189	590	2517
190	592	2508
191	594	2500
192	595	2491
193	597	2483
194	599	2473
195	600	2464
196	602	2455
197	604	2446
198	605	2438
199	607	2429
200	609	2423
201	611	2415
202	613	2407
203	614	2399
204	616	2391
205	618	2382
206	619	2374
207	621	2365
208	622	2357
209	624	2350
210	626	2343
211	628	2336
212	630	2329
213	632	2322
214	634	2315
215	635	2307
216	637	2300
217	639	2294
218	641	2286
219	642	2278
220	644	2271
221	646	2264
222	647	2257
223	649	2250
224	651	2242
225	652	2235
226	654	2229
227	656	2222
228	658	2215
229	660	2209
230	661	2202
231	663	2195
